,ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT,DISTRICT_2,ST_NM_2,ST_CEN_CD_,DT_CEN_CD_,censuscode,T J_STNM01,T J_DISTRI,join_code,T J_Name01,T J_Pop01,T J_DIST_1,T J_CM11,T J_Name11,T J_Code11,T J_Pop11,divide_01
367,Uttar Pradesh,09,14,Mathura,Mathura,Uttar Pradesh,9,14,145,Uttar Pradesh,Mathura,9_14,District - Mathura 14,2074516.0,Mathura,9_14,Mathura,9_145,2547184,1.0
368,Uttar Pradesh,09,62,Mau,Mau,Uttar Pradesh,9,61,192,Uttar Pradesh,Mau,9_62,District - Mau 62,1853997.0,Mau,9_61,Mau,9_192,2205968,1.0
369,Orissa,21,07,Mayurbhanj,Mayurbhanj,Odisha,21,7,376,Orissa,Mayurbhanj,21_7,District - Mayurbhanj 07,2223456.0,Mayurbhanj,21_7,Mayurbhanj,21_376,2519738,1.0
370,Andhra Pradesh,28,04,Medak,Medak,Andhra Pradesh,28,4,535,Andhra Pradesh,Medak,28_4,District - Medak 04,2670097.0,Medak,28_4,Medak,28_535,3033288,1.0
371,Uttar Pradesh,09,07,Meerut,Meerut,Uttar Pradesh,9,7,138,Uttar Pradesh,Meerut,9_7,District - Meerut 07,2997361.0,Meerut,9_7,Meerut,9_138,3443689,1.0
372,Haryana,06,18,Gurgaon,Mewat,Haryana,6,19,87,Haryana,Gurgaon,6_18,District - Gurgaon 18,830144.5,Mewat,6_19,Mewat,6_87,1089263,0.5
373,Uttar Pradesh,09,69,Mirzapur,Mirzapur,Uttar Pradesh,9,68,199,Uttar Pradesh,Mirzapur,9_69,District - Mirzapur 69,2116042.0,Mirzapur,9_68,Mirzapur,9_199,2496970,1.0
374,Punjab,03,10,Moga,Moga,Punjab,3,8,42,Punjab,Moga,3_10,District - Moga * 10,894854.0,Moga,3_8,Moga,3_42,995746,1.0
375,Nagaland,13,03,Mokokchung,Mokokchung,Nagaland,13,2,262,Nagaland,Mokokchung,13_3,District - Mokokchung 03,232085.0,Mokokchung,13_2,Mokokchung,13_262,194622,1.0
376,Nagaland,13,01,Mon,Mon,Nagaland,13,1,261,Nagaland,Mon,13_1,District - Mon 01,260652.0,Mon,13_1,Mon,13_261,250260,1.0
377,Uttar Pradesh,09,04,Moradabad,Moradabad,Uttar Pradesh,9,4,135,Uttar Pradesh,Moradabad,9_4,District - Moradabad 04,3810983.0,Moradabad,9_4,Moradabad,9_135,4772006,1.0
378,Madhya Pradesh,23,02,Morena,Morena,Madhya Pradesh,23,2,419,Madhya Pradesh,Morena,23_2,District - Morena 02,1592714.0,Morena,23_2,Morena,23_419,1965970,1.0
379,Punjab,03,12,Muktsar,Muktsar,Punjab,3,10,44,Punjab,Muktsar,3_12,District - Muktsar * 12,777493.0,Muktsar,3_10,Muktsar,3_44,901896,1.0
380,Maharashtra,27,23,Mumbai,Mumbai,Maharashtra,27,23,519,Maharashtra,Mumbai,27_23,District - Mumbai 23,3338031.0,Mumbai,27_23,Mumbai,27_519,3085411,1.0
381,Maharashtra,27,22,Mumbai (Suburban),Mumbai Suburban,Maharashtra,27,22,518,Maharashtra,Mumbai (Suburban),27_22,District - Mumbai (Suburban) * 22,8640419.0,Mumbai Suburban,27_22,Mumbai Suburban,27_518,9356962,1.0
382,Bihar,10,24,Munger,Munger,Bihar,10,24,226,Bihar,Munger,10_24,District - Munger 24,1137797.0,Munger,10_24,Munger,10_226,1367765,1.0
383,West Bengal,19,07,Murshidabad,Murshidabad,West Bengal,19,7,333,West Bengal,Murshidabad,19_7,District - Murshidabad 07,5866569.0,Murshidabad,19_7,Murshidabad,19_333,7103807,1.0
384,Uttar Pradesh,09,02,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,9,2,133,Uttar Pradesh,Muzaffarnagar,9_2,District - Muzaffarnagar 02,3543362.0,Muzaffarnagar,9_2,Muzaffarnagar,9_133,4143512,1.0
385,Bihar,10,14,Muzaffarpur,Muzaffarpur,Bihar,10,14,216,Bihar,Muzaffarpur,10_14,District - Muzaffarpur 14,3746714.0,Muzaffarpur,10_14,Muzaffarpur,10_216,4801062,1.0
386,Karnataka,29,26,Mysore,Mysore,Karnataka,29,23,577,Karnataka,Mysore,29_26,District - Mysore 26,2641027.0,Mysore,29_23,Mysore,29_577,3001127,1.0
387,Orissa,21,28,Nabarangapur,Nabarangapur,Odisha,21,28,397,Orissa,Nabarangapur,21_28,District - Nabarangapur * 28,1025766.0,Nabarangapur,21_28,Nabarangapur,21_397,1220946,1.0
388,West Bengal,19,10,Nadia,Nadia,West Bengal,19,10,336,West Bengal,Nadia,19_10,District - Nadia 10,4604827.0,Nadia,19_10,Nadia,19_336,5167600,1.0
389,Assam,18,10,Nagaon,Nagaon,Assam,18,6,305,Assam,Nagaon,18_10,District - Nagaon 10,2314629.0,Nagaon,18_6,Nagaon,18_305,2823768,1.0
390,Rajasthan,08,14,Nagaur,Nagaur,Rajasthan,8,14,112,Rajasthan,Nagaur,8_14,District - Nagaur 14,2775058.0,Nagaur,8_14,Nagaur,8_112,3307743,1.0
391,Maharashtra,27,09,Nagpur,Nagpur,Maharashtra,27,9,505,Maharashtra,Nagpur,27_9,District - Nagpur 09,4067637.0,Nagpur,27_9,Nagpur,27_505,4653570,1.0
392,Uttarakhand,05,11,Nainital,Nainital,Uttarakhand,5,11,66,Uttarakhand,Nainital,5_11,District - Nainital 11,762909.0,Nainital,5_11,Nainital,5_66,954605,1.0
393,Bihar,10,27,Nalanda,Nalanda,Bihar,10,27,229,Bihar,Nalanda,10_27,District - Nalanda 27,2370528.0,Nalanda,10_27,Nalanda,10_229,2877653,1.0
394,Assam,18,07,Nalbari,Nalbari,Assam,18,24,323,Assam,Nalbari,18_7,District - Nalbari 07,574412.0,Nalbari,18_24,Nalbari,18_323,771639,0.5
395,Andhra Pradesh,28,08,Nalgonda,Nalgonda,Andhra Pradesh,28,8,539,Andhra Pradesh,Nalgonda,28_8,District - Nalgonda 08,3247982.0,Nalgonda,28_8,Nalgonda,28_539,3488809,1.0
396,Tamil Nadu,33,09,Namakkal,Namakkal,Tamil Nadu,33,8,609,Tamil Nadu,Namakkal,33_9,District - Namakkal * 09,1493462.0,Namakkal,33_8,Namakkal,33_609,1726601,1.0
397,Maharashtra,27,15,Nanded,Nanded,Maharashtra,27,15,511,Maharashtra,Nanded,27_15,District - Nanded 15,2876259.0,Nanded,27_15,Nanded,27_511,3361292,1.0
398,Maharashtra,27,01,Nandurbar,Nandurbar,Maharashtra,27,1,497,Maharashtra,Nandurbar,27_1,District - Nandurbar * 01,1311709.0,Nandurbar,27_1,Nandurbar,27_497,1648295,1.0
399,Chhattisgarh,22,15,Bastar,Narayanpur,Chhattisgarh,22,16,415,Chhattisgarh,Bastar,22_15,District - Bastar 15,653336.5,Narayanpur,22_16,Narayanpur,22_415,139820,0.5
400,Gujarat,24,20,Narmada,Narmada,Gujarat,24,20,487,Gujarat,Narmada,24_20,District - Narmada * 20,514404.0,Narmada,24_20,Narmada,24_487,590297,1.0
401,Madhya Pradesh,23,40,Narsimhapur,Narsimhapur,Madhya Pradesh,23,35,452,Madhya Pradesh,Narsimhapur,23_40,District - Narsimhapur 40,957646.0,Narsimhapur,23_35,Narsimhapur,23_452,1091854,1.0
402,Maharashtra,27,20,Nashik,Nashik,Maharashtra,27,20,516,Maharashtra,Nashik,27_20,District - Nashik 20,4993796.0,Nashik,27_20,Nashik,27_516,6107187,1.0
403,Gujarat,24,24,Navsari,Navsari,Gujarat,24,23,490,Gujarat,Navsari,24_24,District - Navsari * 24,1229463.0,Navsari,24_23,Navsari,24_490,1329672,1.0
404,Bihar,10,36,Nawada,Nawada,Bihar,10,35,237,Bihar,Nawada,10_36,District - Nawada 36,1809696.0,Nawada,10_35,Nawada,10_237,2219146,1.0
405,Orissa,21,16,Nayagarh,Nayagarh,Odisha,21,16,385,Orissa,Nayagarh,21_16,District - Nayagarh * 16,864516.0,Nayagarh,21_16,Nayagarh,21_385,962789,1.0
406,Madhya Pradesh,23,18,Neemuch,Neemuch,Madhya Pradesh,23,15,432,Madhya Pradesh,Neemuch,23_18,District - Neemuch * 18,726070.0,Neemuch,23_15,Neemuch,23_432,826067,1.0
407,Andhra Pradesh,28,19,Nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,28,19,550,Andhra Pradesh,Nellore,28_19,District - Nellore 19,2668564.0,Sri Potti Sriramulu Nellore,28_19,Sri Potti Sriramulu Nellore,28_550,2963557,1.0
408,Delhi  & NCR,07,05,New Delhi,New Delhi,NCT of Delhi,7,5,94,Delhi  & NCR,New Delhi,7_5,District - New Delhi 05,179112.0,New Delhi,7_5,New Delhi,7_94,142004,1.0
409,Andhra Pradesh,28,02,Nizamabad,Nizamabad,Andhra Pradesh,28,2,533,Andhra Pradesh,Nizamabad,28_2,District - Nizamabad 02,2345685.0,Nizamabad,28_2,Nizamabad,28_533,2551335,1.0
410,Delhi  & NCR,07,02,North,North,NCT of Delhi,7,2,91,Delhi  & NCR,North,7_2,District - North * 02,781525.0,North,7_2,North,7_91,887978,1.0
411,Sikkim,11,01,North,North,Sikkim,11,1,241,Sikkim,North,11_1,District - North 01,41030.0,North,11_1,North  District,11_241,43709,1.0
412,West Bengal,19,11,North Twenty Four Parganas,North 24 Parganas,West Bengal,19,11,337,West Bengal,North Twenty Four Parganas,19_11,District - North Twenty Four Parganas 11,8934286.0,North 24 Parganas,19_11,North 24 Parganas,19_337,10009781,1.0
413,Assam,18,20,North Cachar Hills,Dima Hasao,Assam,18,16,315,Assam,North Cachar Hills,18_20,District - North Cachar Hills 20,188079.0,Dima Hasao,18_16,Dima Hasao,18_315,214102,1.0
414,Delhi  & NCR,07,03,North East,North East,NCT of Delhi,7,3,92,Delhi  & NCR,North East,7_3,District - North East * 03,1768061.0,North East,7_3,North East,7_92,2241624,1.0
415,Goa,30,01,North Goa,North Goa,Goa,30,1,585,Goa,North Goa,30_1,District - North Goa 01,758573.0,North Goa,30_1,North Goa,30_585,818008,1.0
416,Tripura,16,04,North Tripura,North Tripura,Tripura,16,4,292,Tripura,North Tripura,16_4,District - North Tripura 04,590913.0,North Tripura,16_4,North Tripura,16_292,693947,1.0
417,Delhi  & NCR,07,01,North West,North West,NCT of Delhi,7,1,90,Delhi  & NCR,North West,7_1,District - North West * 01,2860869.0,North West,7_1,North West,7_90,3656539,1.0
418,Orissa,21,25,Nuapada,Nuapada,Odisha,21,25,394,Orissa,Nuapada,21_25,District - Nuapada * 25,530690.0,Nuapada,21_25,Nuapada,21_394,610382,1.0
419,Maharashtra,27,29,Osmanabad,Osmanabad,Maharashtra,27,29,525,Maharashtra,Osmanabad,27_29,District - Osmanabad 29,1486586.0,Osmanabad,27_29,Osmanabad,27_525,1657576,1.0
420,Jharkhand,20,10,Pakaur,Pakur,Jharkhand,20,8,353,Jharkhand,Pakaur,20_10,District - Pakaur * 10,701664.0,Pakur,20_8,Pakur,20_353,900422,1.0
421,Kerala,32,06,Palakkad,Palakkad,Kerala,32,6,593,Kerala,Palakkad,32_6,District - Palakkad 06,2617482.0,Palakkad,32_6,Palakkad,32_593,2809934,1.0
422,Jharkhand,20,02,Palamu,Palamu,Jharkhand,20,13,358,Jharkhand,Palamu,20_2,District - Palamu 02,1049179.5,Palamu,20_13,Palamu,20_358,1939869,0.5
423,Rajasthan,08,20,Pali,Pali,Rajasthan,8,20,118,Rajasthan,Pali,8_20,District - Pali 20,1820251.0,Pali,8_20,Pali,8_118,2037573,1.0
424,Haryana,06,19,Faridabad,Palwal,Haryana,6,21,89,Haryana,Faridabad,6_19,District - Faridabad 19,1097293.0,Palwal,6_21,Palwal,6_89,1042708,0.5
425,Gujarat,24,17,Panch Mahals,Panch Mahals,Gujarat,24,17,484,Gujarat,Panch Mahals,24_17,District - Panch Mahals 17,2025277.0,Panch Mahals,24_17,Panch Mahals,24_484,2390776,1.0
426,Haryana,06,01,Panchkula,Panchkula,Haryana,6,1,69,Haryana,Panchkula,6_1,District - Panchkula * 01,468411.0,Panchkula,6_1,Panchkula,6_69,561293,1.0
427,Haryana,06,07,Panipat,Panipat,Haryana,6,7,75,Haryana,Panipat,6_7,District - Panipat 07,967449.0,Panipat,6_7,Panipat,6_75,1205437,1.0
428,Madhya Pradesh,23,10,Panna,Panna,Madhya Pradesh,23,9,426,Madhya Pradesh,Panna,23_10,District - Panna 10,856558.0,Panna,23_9,Panna,23_426,1016520,1.0
429,Arunanchal Pradesh,12,04,Papum Pare,Papum Pare,Arunanchal Pradesh,12,4,248,Arunanchal Pradesh,Papum Pare,12_4,District - Papum Pare * 04,122003.0,Papum Pare,12_4,Papum Pare,12_248,176573,1.0
430,Maharashtra,27,17,Parbhani,Parbhani,Maharashtra,27,17,513,Maharashtra,Parbhani,27_17,District - Parbhani 17,1527715.0,Parbhani,27_17,Parbhani,27_513,1836086,1.0
431,Bihar,10,01,Pashchim Champaran,Pashchim Champaran,Bihar,10,1,203,Bihar,Pashchim Champaran,10_1,District - Pashchim Champaran 01,3043466.0,Pashchim Champaran,10_1,Pashchim Champaran,10_203,3935042,1.0
432,West Bengal,19,15,Medinipur,Pashchim Medinipur,West Bengal,19,18,344,West Bengal,Medinipur,19_15,District - Medinipur 15,4805394.0,Pashchim Medinipur,19_18,Pashchim Medinipur,19_344,5913457,0.5
433,Jharkhand,20,17,Pashchimi Singhbhum,Pashchimi Singhbhum,Jharkhand,20,23,368,Jharkhand,Pashchimi Singhbhum,20_17,District - Pashchimi Singhbhum 17,1041397.5,Pashchimi Singhbhum,20_23,Pashchimi Singhbhum,20_368,1502338,0.5
434,Gujarat,24,03,Patan,Patan,Gujarat,24,3,470,Gujarat,Patan,24_3,District - Patan * 03,1182709.0,Patan,24_3,Patan,24_470,1343734,1.0
435,Kerala,32,12,Pathanamthitta,Pathanamthitta,Kerala,32,12,599,Kerala,Pathanamthitta,32_12,District - Pathanamthitta 12,1234016.0,Pathanamthitta,32_12,Pathanamthitta,32_599,1197412,1.0
436,Punjab,03,17,Patiala,Patiala,Punjab,3,14,48,Punjab,Patiala,3_17,District - Patiala 17,1844934.0,Patiala,3_14,Patiala,3_48,1895686,1.0
437,Bihar,10,28,Patna,Patna,Bihar,10,28,230,Bihar,Patna,10_28,District - Patna 28,4718592.0,Patna,10_28,Patna,10_230,5838465,1.0
438,Tamil Nadu,33,16,Perambalur,Perambalur,Tamil Nadu,33,14,615,Tamil Nadu,Perambalur,33_16,District - Perambalur * 16,493646.0,Perambalur,33_14,Perambalur,33_615,565223,1.0
439,Nagaland,13,07,Kohima,Peren,Nagaland,13,11,271,Nagaland,Kohima,13_7,District - Kohima 07,155042.0,Peren,13_11,Peren,13_271,95219,0.5
440,Nagaland,13,08,Phek,Phek,Nagaland,13,6,266,Nagaland,Phek,13_8,District - Phek 08,148195.0,Phek,13_6,Phek,13_266,163418,1.0
441,Uttar Pradesh,09,21,Pilibhit,Pilibhit,Uttar Pradesh,9,20,151,Uttar Pradesh,Pilibhit,9_21,District - Pilibhit 21,1645183.0,Pilibhit,9_20,Pilibhit,9_151,2031007,1.0
442,Uttarakhand,05,07,Pithoragarh,Pithoragarh,Uttarakhand,5,7,62,Uttarakhand,Pithoragarh,5_7,District - Pithoragarh 07,462289.0,Pithoragarh,5_7,Pithoragarh,5_62,483439,1.0
443,Gujarat,24,11,Porbandar,Porbandar,Gujarat,24,11,478,Gujarat,Porbandar,24_11,District - Porbandar * 11,536835.0,Porbandar,24_11,Porbandar,24_478,585449,1.0
444,Andhra Pradesh,28,18,Prakasam,Prakasam,Andhra Pradesh,28,18,549,Andhra Pradesh,Prakasam,28_18,District - Prakasam 18,3059423.0,Prakasam,28_18,Prakasam,28_549,3397448,1.0
445,Rajasthan,08,29,Chittaurgarh,Pratapgarh,Rajasthan,8,33,131,Rajasthan,Chittaurgarh,8_29,District - Chittaurgarh 29,901762.0,Pratapgarh,8_33,Pratapgarh,8_131,867848,0.5
446,Uttar Pradesh,09,43,Pratapgarh,Pratapgarh,Uttar Pradesh,9,42,173,Uttar Pradesh,Pratapgarh,9_43,District - Pratapgarh 43,2731174.0,Pratapgarh,9_42,Pratapgarh,8_131,867848,1.0
447,Tamil Nadu,33,22,Pudukkottai,Pudukkottai,Tamil Nadu,33,20,621,Tamil Nadu,Pudukkottai,33_22,District - Pudukkottai 22,1459601.0,Pudukkottai,33_20,Pudukkottai,33_621,1618345,1.0
448,Jammu and Kashmir,01,05,Pulwama,Pulwama,Jammu & Kashmir,1,12,12,Jammu and Kashmir,Pulwama,1_5,District - Pulwama 05,326303.5,Pulwama,1_12,Pulwama,1_12,560440,0.5
449,Jammu and Kashmir,01,11,Punch,Punch,Jammu & Kashmir,1,5,5,Jammu and Kashmir,Punch,1_11,District - Punch 11,372613.0,Punch,1_5,Punch,1_5,476835,1.0
450,Maharashtra,27,25,Pune,Pune,Maharashtra,27,25,521,Maharashtra,Pune,27_25,District - Pune 25,7232555.0,Pune,27_25,Pune,27_521,9429408,1.0
451,Bihar,10,02,Purba Champaran,Purba Champaran,Bihar,10,2,204,Bihar,Purba Champaran,10_2,District - Purba Champaran 02,3939773.0,Purba Champaran,10_2,Purba Champaran,10_204,5099371,1.0
452,West Bengal,19,15,Medinipur,Purba Medinipur,West Bengal,19,19,345,West Bengal,Medinipur,19_15,District - Medinipur 15,4805394.0,Purba Medinipur,19_19,Purba Medinipur,19_345,5095875,0.5
453,Jharkhand,20,18,Purbi Singhbhum,Purbi Singhbhum,Jharkhand,20,12,357,Jharkhand,Purbi Singhbhum,20_18,District - Purbi Singhbhum 18,1982988.0,Purbi Singhbhum,20_12,Purbi Singhbhum,20_357,2293919,1.0
454,Orissa,21,18,Puri,Puri,Odisha,21,18,387,Orissa,Puri,21_18,District - Puri 18,1502682.0,Puri,21_18,Puri,21_387,1698730,1.0
455,Bihar,10,09,Purnia,Purnia,Bihar,10,9,211,Bihar,Purnia,10_9,District - Purnia 09,2543942.0,Purnia,10_9,Purnia,10_211,3264619,1.0
456,West Bengal,19,14,Puruliya,Puruliya,West Bengal,19,14,340,West Bengal,Puruliya,19_14,District - Puruliya 14,2536516.0,Puruliya,19_14,Puruliya,19_340,2930115,1.0
457,Uttar Pradesh,09,28,Rae Bareli,Rae Bareli,Uttar Pradesh,9,27,158,Uttar Pradesh,Rae Bareli,9_28,District - Rae Bareli 28,2872335.0,Rae Bareli,9_27,Rae Bareli,9_158,3405559,1.0
458,Karnataka,29,06,Raichur,Raichur,Karnataka,29,5,559,Karnataka,Raichur,29_6,District - Raichur 06,1669762.0,Raichur,29_5,Raichur,29_559,1928812,1.0
459,Chhattisgarh,22,04,Raigarh,Raigarh,Chhattisgarh,22,4,403,Chhattisgarh,Raigarh,22_4,District - Raigarh 04,1265529.0,Raigarh,22_4,Raigarh,22_403,1493984,1.0
460,Maharashtra,27,24,Raigarh,Raigarh,Maharashtra,27,24,520,Maharashtra,Raigarh,27_24,District - Raigarh 24,2207929.0,Raigarh,27_24,Raigarh,22_403,1493984,1.0
461,Chhattisgarh,22,11,Raipur,Raipur,Chhattisgarh,22,11,410,Chhattisgarh,Raipur,22_11,District - Raipur 11,3016930.0,Raipur,22_11,Raipur,22_410,4063872,1.0
462,Madhya Pradesh,23,34,Raisen,Raisen,Madhya Pradesh,23,29,446,Madhya Pradesh,Raisen,23_34,District - Raisen 34,1125154.0,Raisen,23_29,Raisen,23_446,1331597,1.0
463,Jammu and Kashmir,01,12,Rajauri,Rajouri,Jammu & Kashmir,1,6,6,Jammu and Kashmir,Rajauri,1_12,District - Rajauri 12,483284.0,Rajouri,1_6,Rajouri,1_6,642415,1.0
464,Madhya Pradesh,23,30,Rajgarh,Rajgarh,Madhya Pradesh,23,25,442,Madhya Pradesh,Rajgarh,23_30,District - Rajgarh 30,1254085.0,Rajgarh,23_25,Rajgarh,23_442,1545814,1.0
465,Gujarat,24,09,Rajkot,Rajkot,Gujarat,24,9,476,Gujarat,Rajkot,24_9,District - Rajkot 09,3169881.0,Rajkot,24_9,Rajkot,24_476,3804558,1.0
466,Chhattisgarh,22,09,Rajnandgaon,Rajnandgaon,Chhattisgarh,22,9,408,Chhattisgarh,Rajnandgaon,22_9,District - Rajnandgaon 09,1283224.0,Rajnandgaon,22_9,Rajnandgaon,22_408,1537133,1.0
467,Rajasthan,08,25,Rajsamand,Rajsamand,Rajasthan,8,25,123,Rajasthan,Rajsamand,8_25,District - Rajsamand * 25,987024.0,Rajsamand,8_25,Rajsamand,8_123,1156597,1.0
468,Karnataka,29,21,Bangalore Rural,Ramanagara,Karnataka,29,30,584,Karnataka,Bangalore Rural,29_21,District - Bangalore Rural 21,940757.0,Ramanagara,29_30,Ramanagara,29_584,1082636,0.5
469,Tamil Nadu,33,27,Ramanathapuram,Ramanathapuram,Tamil Nadu,33,25,626,Tamil Nadu,Ramanathapuram,33_27,District - Ramanathapuram 27,1187604.0,Ramanathapuram,33_25,Ramanathapuram,33_626,1353445,1.0
470,Jammu and Kashmir,01,09,Doda,Ramban,Jammu & Kashmir,1,17,17,Jammu and Kashmir,Doda,1_9,District - Doda 09,230643.0,Ramban,1_17,Ramban,1_17,283713,0.3333333333333333
471,Jharkhand,20,04,Hazaribagh,Ramgarh,Jharkhand,20,16,361,Jharkhand,Hazaribagh,20_4,District - Hazaribag 04,1138737.5,Ramgarh,20_16,Ramgarh,20_361,949443,0.5
472,Uttar Pradesh,09,05,Rampur,Rampur,Uttar Pradesh,9,5,136,Uttar Pradesh,Rampur,9_5,District - Rampur 05,1923739.0,Rampur,9_5,Rampur,9_136,2335819,1.0
473,Jharkhand,20,14,Ranchi,Ranchi,Jharkhand,20,19,364,Jharkhand,Ranchi,20_14,District - Ranchi 14,1392532.0,Ranchi,20_19,Ranchi,20_364,2914253,0.5
474,Andhra Pradesh,28,06,Rangareddi,Rangareddy,Andhra Pradesh,28,6,537,Andhra Pradesh,Rangareddi,28_6,District - Rangareddy 06,3575064.0,Rangareddy,28_6,Rangareddy,28_537,5296741,1.0
475,Madhya Pradesh,23,20,Ratlam,Ratlam,Madhya Pradesh,23,17,434,Madhya Pradesh,Ratlam,23_20,District - Ratlam 20,1215393.0,Ratlam,23_17,Ratlam,23_434,1455069,1.0
476,Maharashtra,27,32,Ratnagiri,Ratnagiri,Maharashtra,27,32,528,Maharashtra,Ratnagiri,27_32,District - Ratnagiri 32,1696777.0,Ratnagiri,27_32,Ratnagiri,27_528,1615069,1.0
477,Orissa,21,27,Rayagada,Rayagada,Odisha,21,27,396,Orissa,Rayagada,21_27,District - Rayagada * 27,831109.0,Rayagada,21_27,Rayagada,21_396,967911,1.0
478,Jammu and Kashmir,01,10,Udhampur,Reasi,Jammu & Kashmir,1,20,20,Jammu and Kashmir,Udhampur,1_10,District - Udhampur 10,371754.5,Reasi,1_20,Reasi,1_20,314667,0.5
479,Madhya Pradesh,23,14,Rewa,Rewa,Madhya Pradesh,23,13,430,Madhya Pradesh,Rewa,23_14,District - Rewa 14,1973306.0,Rewa,23_13,Rewa,23_430,2365106,1.0
480,Haryana,06,17,Rewari,Rewari,Haryana,6,17,85,Haryana,Rewari,6_17,District - Rewari 17,765351.0,Rewari,6_17,Rewari,6_85,900332,1.0
481,Meghalaya,17,05,Ri Bhoi,Ri Bhoi,Meghalaya,17,5,297,Meghalaya,Ri Bhoi,17_5,District - Ri Bhoi * 05,192790.0,Ri Bhoi,17_5,Ri Bhoi,17_297,258840,1.0
482,Haryana,06,14,Rohtak,Rohtak,Haryana,6,14,82,Haryana,Rohtak,6_14,District - Rohtak 14,940128.0,Rohtak,6_14,Rohtak,6_82,1061204,1.0
483,Bihar,10,32,Rohtas,Rohtas,Bihar,10,32,234,Bihar,Rohtas,10_32,District - Rohtas 32,2450748.0,Rohtas,10_32,Rohtas,10_234,2959918,1.0
484,Uttarakhand,05,03,Rudraprayag,Rudraprayag,Uttarakhand,5,3,58,Uttarakhand,Rudraprayag,5_3,District - Rudraprayag * 03,227439.0,Rudraprayag,5_3,Rudraprayag,5_58,242285,1.0
485,Punjab,03,07,Rupnagar,Rupnagar,Punjab,3,17,51,Punjab,Rupnagar,3_7,District - Rupnagar 07,558054.0,Rupnagar,3_17,Rupnagar,3_51,684627,0.5
486,Gujarat,24,05,Sabar Kantha,Sabar Kantha,Gujarat,24,5,472,Gujarat,Sabar Kantha,24_5,District - Sabar Kantha 05,2082531.0,Sabar Kantha,24_5,Sabar Kantha,24_472,2428589,1.0
487,Madhya Pradesh,23,11,Sagar,Sagar,Madhya Pradesh,23,10,427,Madhya Pradesh,Sagar,23_11,District - Sagar 11,2021987.0,Sagar,23_10,Sagar,23_427,2378458,1.0
488,Uttar Pradesh,09,01,Saharanpur,Saharanpur,Uttar Pradesh,9,1,132,Uttar Pradesh,Saharanpur,9_1,District - Saharanpur 01,2896863.0,Saharanpur,9_1,Saharanpur,9_132,3466382,1.0
489,Bihar,10,12,Saharsa,Saharsa,Bihar,10,12,214,Bihar,Saharsa,10_12,District - Saharsa 12,1508182.0,Saharsa,10_12,Saharsa,10_214,1900661,1.0
490,Jharkhand,20,09,Sahibganj,Sahibganj,Jharkhand,20,7,352,Jharkhand,Sahibganj,20_9,District - Sahibganj 09,927770.0,Sahibganj,20_7,Sahibganj,20_352,1150567,1.0
491,Punjab,03,07,Rupnagar,Sahibzada Ajit Singh Nagar,Punjab,3,18,52,Punjab,Rupnagar,3_7,District - Rupnagar 07,558054.0,Sahibzada Ajit Singh Nagar,3_18,Sahibzada Ajit Singh Nagar,3_52,994628,0.5
492,Mizoram,15,08,Saiha,Saiha,Mizoram,15,8,288,Mizoram,Saiha,15_8,District - Saiha * 08,61056.0,Saiha,15_8,Saiha,15_288,56574,1.0
493,Tamil Nadu,33,08,Salem,Salem,Tamil Nadu,33,7,608,Tamil Nadu,Salem,33_8,District - Salem 08,3016346.0,Salem,33_7,Salem,33_608,3482056,1.0
494,Bihar,10,19,Samastipur,Samastipur,Bihar,10,19,221,Bihar,Samastipur,10_19,District - Samastipur 19,3394793.0,Samastipur,10_19,Samastipur,10_221,4261566,1.0
495,Jammu and Kashmir,01,13,Jammu,Samba,Jammu & Kashmir,1,22,22,Jammu and Kashmir,Jammu,1_13,District - Jammu 13,794386.0,Samba,1_22,Samba,1_22,318898,0.5
496,Orissa,21,03,Sambalpur,Sambalpur,Odisha,21,3,372,Orissa,Sambalpur,21_3,District - Sambalpur 03,935613.0,Sambalpur,21_3,Sambalpur,21_372,1041099,1.0
497,Maharashtra,27,35,Sangli,Sangli,Maharashtra,27,35,531,Maharashtra,Sangli,27_35,District - Sangli 35,2583524.0,Sangli,27_35,Sangli,27_531,2822143,1.0
498,Punjab,03,16,Sangrur,Sangrur,Punjab,3,19,53,Punjab,Sangrur,3_16,District - Sangrur 16,1000086.5,Sangrur,3_19,Sangrur,3_53,1655169,0.5
499,Uttar Pradesh,09,56,Sant Kabir Nagar,Sant Kabir Nagar,Uttar Pradesh,9,55,186,Uttar Pradesh,Sant Kabir Nagar,9_56,District - Sant Kabir Nagar * 56,1420226.0,Sant Kabir Nagar,9_55,Sant Kabir Nagar,9_186,1715183,1.0
500,Uttar Pradesh,09,68,Sant Ravidas Nagar Bhadohi,Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,67,198,Uttar Pradesh,Sant Ravidas Nagar Bhadohi,9_68,District - Sant Ravidas Nagar Bhadohi * 68,1353705.0,Sant Ravi Das Nagar(bhadohi),9_67,Sant Ravi Das Nagar(bhadohi),9_198,1578213,1.0
501,Jharkhand,20,17,Pashchimi Singhbhum,Saraikela-kharsawan,Jharkhand,20,24,369,Jharkhand,Pashchimi Singhbhum,20_17,District - Pashchimi Singhbhum 17,1041397.5,Saraikela-kharsawan,20_24,Saraikela-Kharsawan,20_369,1065056,0.5
