,ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT,DISTRICT_2,ST_NM_2,ST_CEN_CD_,DT_CEN_CD_,censuscode,T J_STNM01,T J_DISTRI,join_code,T J_Name01,T J_Pop01,T J_DIST_1,T J_CM11,T J_Name11,T J_Code11,T J_Pop11,divide_01
168,Arunanchal Pradesh,12,03,East Kameng,East Kameng,Arunanchal Pradesh,12,3,247,Arunanchal Pradesh,East Kameng,12_3,District - East Kameng 03,57179.0,East Kameng,12_3,East Kameng,12_247,78690,1.0
169,Meghalaya,17,06,East Khasi Hills,East Khasi Hills,Meghalaya,17,6,298,Meghalaya,East Khasi Hills,17_6,District - East Khasi Hills 06,660923.0,East Khasi Hills,17_6,East Khasi Hills,17_298,825922,1.0
170,Madhya Pradesh,23,29,East Nimar,East Nimar,Madhya Pradesh,23,49,466,Madhya Pradesh,East Nimar,23_29,District - East Nimar 29,856567.0,Khandwa (East Nimar),23_49,Khandwa (East Nimar),23_466,1310061,0.5
171,Arunanchal Pradesh,12,08,East Siang,East Siang,Arunanchal Pradesh,12,7,251,Arunanchal Pradesh,East Siang,12_8,District - East Siang 08,87397.0,East Siang,12_7,East Siang,12_251,99214,1.0
172,Kerala,32,08,Ernakulam,Ernakulam,Kerala,32,8,595,Kerala,Ernakulam,32_8,District - Ernakulam 08,3105798.0,Ernakulam,32_8,Ernakulam,32_595,3282388,1.0
173,Tamil Nadu,33,10,Erode,Erode,Tamil Nadu,33,9,610,Tamil Nadu,Erode,33_10,District - Erode 10,1290750.0,Erode,33_9,Erode,33_610,2251744,0.5
174,Uttar Pradesh,09,17,Etah,Etah,Uttar Pradesh,9,70,201,Uttar Pradesh,Etah,9_17,District - Etah 17,1395205.0,Etah,9_70,Etah,9_201,1774480,0.5
175,Uttar Pradesh,09,31,Etawah,Etawah,Uttar Pradesh,9,30,161,Uttar Pradesh,Etawah,9_31,District - Etawah 31,1338871.0,Etawah,9_30,Etawah,9_161,1581810,1.0
176,Uttar Pradesh,09,47,Faizabad,Faizabad,Uttar Pradesh,9,46,177,Uttar Pradesh,Faizabad,9_47,District - Faizabad 47,2088928.0,Faizabad,9_46,Faizabad,9_177,2470996,1.0
177,Haryana,06,19,Faridabad,Faridabad,Haryana,6,20,88,Haryana,Faridabad,6_19,District - Faridabad 19,1097293.0,Faridabad,6_20,Faridabad,6_88,1809733,0.5
178,Punjab,03,13,Faridkot,Faridkot,Punjab,3,11,45,Punjab,Faridkot,3_13,District - Faridkot 13,550892.0,Faridkot,3_11,Faridkot,3_45,617508,1.0
179,Uttar Pradesh,09,29,Farrukhabad,Farrukhabad,Uttar Pradesh,9,28,159,Uttar Pradesh,Farrukhabad,9_29,District - Farrukhabad 29,1570408.0,Farrukhabad,9_28,Farrukhabad,9_159,1885204,1.0
180,Haryana,06,10,Fatehabad,Fatehabad,Haryana,6,10,78,Haryana,Fatehabad,6_10,District - Fatehabad * 10,806158.0,Fatehabad,6_10,Fatehabad,6_78,942011,1.0
181,Punjab,03,08,Fatehgarh Sahib,Fatehgarh Sahib,Punjab,3,6,40,Punjab,Fatehgarh Sahib,3_8,District - Fatehgarh Sahib * 08,538041.0,Fatehgarh Sahib,3_6,Fatehgarh Sahib,3_40,600163,1.0
182,Uttar Pradesh,09,42,Fatehpur,Fatehpur,Uttar Pradesh,9,41,172,Uttar Pradesh,Fatehpur,9_42,District - Fatehpur 42,2308384.0,Fatehpur,9_41,Fatehpur,9_172,2632733,1.0
183,Uttar Pradesh,09,16,Firozabad,Firozabad,Uttar Pradesh,9,16,147,Uttar Pradesh,Firozabad,9_16,District - Firozabad 16,2052958.0,Firozabad,9_16,Firozabad,9_147,2498156,1.0
